device,status,shot_id,mode,R_m,a_m,Bt_T,Ip_MA,ne_19,Te_keV,tauE_s,Pheat_MW,Pfus_MW,Q,aspect_ratio,volume_m3
FT-1,退役,FT-1_low,low,0.62,0.22,1.0,0.03055431705602628,1.3075949660722042,0.1766859437929457,0.004699294781354823,0.22473481017431976,0.0,0.0,2.8181818181818183,0.5923341777357789
FT-1,退役,FT-1_mid,mid,0.62,0.22,1.0,0.05,2.0,0.3,0.01,0.5,0.0,0.0,2.8181818181818183,0.5923341777357789
FT-1,退役,FT-1_high,high,0.62,0.22,1.0,0.059505441353100944,2.277495649090897,0.445864592453285,0.01442469853780352,0.6342964208255194,0.0,0.0,2.8181818181818183,0.5923341777357789
T-3,退役,T-3_low,low,1.0,0.15,2.5,0.06343401368811713,1.8708769442747375,0.23581627180328404,0.006454230368798516,0.5343146391185599,0.0,0.0,6.666666666666667,0.4441321980490211
T-3,退役,T-3_mid,mid,1.0,0.15,2.5,0.1,3.0,0.5,0.02,1.0,0.0,0.0,6.666666666666667,0.4441321980490211
T-3,退役,T-3_high,high,1.0,0.15,2.5,0.12040615401807586,3.995086552562075,0.678024525166799,0.03081745200254832,1.3655720516323457,0.0,0.0,6.666666666666667,0.4441321980490211
T-4,退役,T-4_low,low,1.0,0.17,3.0,0.09182813914606158,2.701322882126676,0.38455725859398354,0.006536060913802563,0.6086348028940017,0.0,0.0,5.88235294117647,0.570463134382965
T-4,退役,T-4_mid,mid,1.0,0.17,3.0,0.15,4.0,0.8,0.02,1.5,0.0,0.0,5.88235294117647,0.570463134382965
T-4,退役,T-4_high,high,1.0,0.17,3.0,0.1876541176702086,5.144371461624157,1.1289791443438137,0.025703713292071283,1.8613671640140463,0.0,0.0,5.88235294117647,0.570463134382965
T-10,退役,T-10_low,low,1.5,0.36,5.0,0.2514544665667882,3.4207050705679167,0.77697530605639,0.018922440450997325,1.9499799376189833,0.0,0.0,4.166666666666667,3.837302191143542
T-10,退役,T-10_mid,mid,1.5,0.36,5.0,0.5,6.0,1.5,0.05,4.0,0.0,0.0,4.166666666666667,3.837302191143542
T-10,退役,T-10_high,high,1.5,0.36,5.0,0.6404158694493749,7.226859840641941,2.031295270121915,0.07567306025482287,5.275851338785524,0.0,0.0,4.166666666666667,3.837302191143542
T-11M,退役,T-11M_low,low,0.7,0.24,1.5,0.0936626010068362,2.017418225248047,0.2949520623657642,0.0065882939237161525,0.5853175250322988,0.0,0.0,2.9166666666666665,0.7958848989038458
T-11M,退役,T-11M_mid,mid,0.7,0.24,1.5,0.15,3.0,0.5,0.02,1.0,0.0,0.0,2.9166666666666665,0.7958848989038458
T-11M,退役,T-11M_high,high,0.7,0.24,1.5,0.17976348879238616,3.5324199494690625,0.6688703634357391,0.031840260602283815,1.3477854281978607,0.0,0.0,2.9166666666666665,0.7958848989038458
T-12,退役,T-12_low,low,0.53,0.18,1.0,0.045260025764600136,1.5667004271583629,0.17921164950225546,0.003151726656217328,0.21288797219106492,0.0,0.0,2.9444444444444446,0.3389616935510129
T-12,退役,T-12_mid,mid,0.53,0.18,1.0,0.08,2.5,0.4,0.01,0.5,0.0,0.0,2.9444444444444446,0.3389616935510129
T-12,退役,T-12_high,high,0.53,0.18,1.0,0.09004873342332437,2.863927020134221,0.4966592607179292,0.01456349897921286,0.6272820126598717,0.0,0.0,2.9444444444444446,0.3389616935510129
TM-3,退役,TM-3_low,low,0.8,0.13,3.0,0.04553067653318182,2.7174307279248096,0.2968753968315447,0.008670230954084108,0.434463974240326,0.0,0.0,6.153846153846154,0.2668741030054563
TM-3,退役,TM-3_mid,mid,0.8,0.13,3.0,0.08,4.0,0.6,0.02,1.0,0.0,0.0,6.153846153846154,0.2668741030054563
TM-3,退役,TM-3_high,high,0.8,0.13,3.0,0.09107662430093875,4.449042339519775,0.7504083113529895,0.02622872271225567,1.253103145283024,0.0,0.0,6.153846153846154,0.2668741030054563
ST_Tokamak,退役,ST_Tokamak_low,low,0.3,0.3,0.3,0.05177405067514112,1.0482543484402402,0.09843115072130904,0.003412667436811585,0.23642698610480756,0.0,0.0,1.0,0.5329586376588253
ST_Tokamak,退役,ST_Tokamak_mid,mid,0.3,0.3,0.3,0.1,2.0,0.2,0.01,0.5,0.0,0.0,1.0,0.5329586376588253
ST_Tokamak,退役,ST_Tokamak_high,high,0.3,0.3,0.3,0.12006834541709716,2.6142368971776193,0.24235872839046593,0.015197641595636172,0.6941850584236362,0.0,0.0,1.0,0.5329586376588253
START,退役,START_low,low,0.3,0.3,0.5,0.1290879515974436,3.373578624106777,0.17525234403190879,0.006244311839419456,0.4553755296294408,0.0,0.0,1.0,0.5329586376588253
START,退役,START_mid,mid,0.3,0.3,0.5,0.25,5.0,0.3,0.02,1.0,0.0,0.0,1.0,0.5329586376588253
START,退役,START_high,high,0.3,0.3,0.5,0.3153100639896531,6.622389535575487,0.37660689174207396,0.025674794586693684,1.3111416308374146,0.0,0.0,1.0,0.5329586376588253
Globus-M,退役,Globus-M_low,low,0.36,0.24,0.5,0.17907137911146126,3.7419057258363546,0.1895130911655818,0.007850138864532593,0.6593930251521015,0.0,0.0,1.5,0.40931223372197784
Globus-M,退役,Globus-M_mid,mid,0.36,0.24,0.5,0.3,6.0,0.4,0.02,1.2,0.0,0.0,1.5,0.40931223372197784
Globus-M,退役,Globus-M_high,high,0.36,0.24,0.5,0.3322009921734359,7.054386499819238,0.5656019503061464,0.031161654701497597,1.6242038791616398,0.0,0.0,1.5,0.40931223372197784
HBT-EP,退役,HBT-EP_low,low,0.92,0.15,0.35,0.12128453941061262,1.5643032068038658,0.14684474200940728,0.008130469065820094,0.3587952805815568,0.0,0.0,6.133333333333334,0.40860162220509944
HBT-EP,退役,HBT-EP_mid,mid,0.92,0.15,0.35,0.2,3.0,0.3,0.02,0.8,0.0,0.0,6.133333333333334,0.40860162220509944
HBT-EP,退役,HBT-EP_high,high,0.92,0.15,0.35,0.23076972923797526,3.6395557467941604,0.36180640779999534,0.026576633324665425,1.0107475216791708,0.0,0.0,6.133333333333334,0.40860162220509944
CDX-U,退役,CDX-U_low,low,0.34,0.22,0.25,0.04523995763484663,1.5718572790915506,0.11562109122959581,0.004187184907108098,0.26791023191444896,0.0,0.0,1.5454545454545456,0.3248284200486529
CDX-U,退役,CDX-U_mid,mid,0.34,0.22,0.25,0.08,3.0,0.2,0.01,0.5,0.0,0.0,1.5454545454545456,0.3248284200486529
CDX-U,退役,CDX-U_high,high,0.34,0.22,0.25,0.10062673981771741,3.748597979036152,0.24521521728524542,0.014148426167274191,0.6880261677031319,0.0,0.0,1.5454545454545456,0.3248284200486529
NSTX,退役,NSTX_low,low,0.85,0.65,0.6,0.9736318422552989,2.931659546229679,0.6382740908386692,0.028540414492779595,2.835698755678362,0.0,0.0,1.3076923076923077,7.088843361082431
NSTX,退役,NSTX_mid,mid,0.85,0.65,0.6,1.5,5.0,1.5,0.08,6.0,0.0,0.0,1.3076923076923077,7.088843361082431
NSTX,退役,NSTX_high,high,0.85,0.65,0.6,1.8437751723994806,6.356167457003368,1.9602435266540308,0.12756848796137538,8.290394674842396,0.0,0.0,1.3076923076923077,7.088843361082431
MAST,退役,MAST_low,low,0.85,0.65,0.55,0.7390512337687185,2.3416042253583633,0.5166861934042397,0.027935323654152133,2.160681373259556,0.0,0.0,1.3076923076923077,7.088843361082431
MAST,退役,MAST_mid,mid,0.85,0.65,0.55,1.35,4.5,1.2,0.08,5.0,0.0,0.0,1.3076923076923077,7.088843361082431
MAST,退役,MAST_high,high,0.85,0.65,0.55,1.535373096493853,5.3348784777366935,1.5024144943061115,0.12469649358804562,6.120350618492463,0.0,0.0,1.3076923076923077,7.088843361082431
Pegasus,退役,Pegasus_low,low,0.3,0.15,0.2,0.12098045558281019,2.328317461591729,0.11929514467634426,0.0032240778043361048,0.287742671885489,0.0,0.0,2.0,0.13323965941470634
Pegasus,退役,Pegasus_mid,mid,0.3,0.15,0.2,0.2,4.0,0.2,0.01,0.6,0.0,0.0,2.0,0.13323965941470634
Pegasus,退役,Pegasus_high,high,0.3,0.15,0.2,0.25877881733101477,5.438608551072776,0.2890243242569568,0.01303161130817976,0.7507597657302117,0.0,0.0,2.0,0.13323965941470634
SPHEX,退役,SPHEX_low,low,0.6,0.2,0.15,0.03168643219924431,1.3717503956510342,0.051135257860278595,0.0041432253789398,0.13679874561961705,0.0,0.0,2.9999999999999996,0.4737410112522893
SPHEX,退役,SPHEX_mid,mid,0.6,0.2,0.15,0.05,2.0,0.1,0.01,0.3,0.0,0.0,2.9999999999999996,0.4737410112522893
SPHEX,退役,SPHEX_high,high,0.6,0.2,0.15,0.06269492933191938,2.3122262491345142,0.12971037709212732,0.013701745754465668,0.40568493408160095,0.0,0.0,2.9999999999999996,0.4737410112522893
RTP,退役,RTP_low,low,0.72,0.16,2.4,0.08227229197245241,2.6148368247392035,0.3132744050929959,0.007154522212961023,0.7743714664267836,0.0,0.0,4.5,0.3638330966417581
RTP,退役,RTP_mid,mid,0.72,0.16,2.4,0.15,5.0,0.6,0.02,1.5,0.0,0.0,4.5,0.3638330966417581
RTP,退役,RTP_high,high,0.72,0.16,2.4,0.16963088145822608,6.221710152782226,0.8158660978592854,0.024414588294579414,1.9514719251872643,0.0,0.0,4.5,0.3638330966417581
TEXT,退役,TEXT_low,low,1.05,0.27,2.8,0.21075317415511796,3.0760499645673214,0.5979920464779891,0.010934123069848336,1.4049372229273174,0.0,0.0,3.888888888888889,1.5109377377627702
TEXT,退役,TEXT_mid,mid,1.05,0.27,2.8,0.4,6.0,1.0,0.03,2.5,0.0,0.0,3.888888888888889,1.5109377377627702
TEXT,退役,TEXT_high,high,1.05,0.27,2.8,0.46037125238110116,7.826704900003072,1.428068357966906,0.04314766488729413,3.353682141412619,0.0,0.0,3.888888888888889,1.5109377377627702
ISX-B,退役,ISX-B_low,low,0.93,0.27,1.8,0.1747104548488361,2.2790946132343963,0.4687246630796521,0.013983716446726373,1.1860107642666051,0.0,0.0,3.444444444444444,1.3382591391613106
ISX-B,退役,ISX-B_mid,mid,0.93,0.27,1.8,0.3,4.0,0.8,0.03,2.0,0.0,0.0,3.444444444444444,1.3382591391613106
ISX-B,退役,ISX-B_high,high,0.93,0.27,1.8,0.33745783340913266,5.277040970244373,1.185201709637049,0.03817479679398792,2.4398977604200662,0.0,0.0,3.444444444444444,1.3382591391613106
Microtor,退役,Microtor_low,low,0.4,0.1,1.0,0.03241120649290059,1.8446838679079471,0.11367315107033088,0.003279544753252579,0.1677160387115934,0.0,0.0,4.0,0.07895683520871488
Microtor,退役,Microtor_mid,mid,0.4,0.1,1.0,0.05,3.0,0.2,0.01,0.3,0.0,0.0,4.0,0.07895683520871488
Microtor,退役,Microtor_high,high,0.4,0.1,1.0,0.05701627320047745,3.447290348579134,0.24985594787585957,0.01525829888092553,0.419867749862658,0.0,0.0,4.0,0.07895683520871488
ORMAK,退役,ORMAK_low,low,0.8,0.23,1.5,0.12092261699076477,2.287064387298802,0.28772005408131085,0.007569780429690542,0.5633198878943154,0.0,0.0,3.4782608695652173,0.8353633165082033
ORMAK,退役,ORMAK_mid,mid,0.8,0.23,1.5,0.2,4.0,0.5,0.02,1.0,0.0,0.0,3.4782608695652173,0.8353633165082033
ORMAK,退役,ORMAK_high,high,0.8,0.23,1.5,0.23756539634280874,4.852333315309889,0.6694019678504409,0.026411022993313136,1.4242828140528754,0.0,0.0,3.4782608695652173,0.8353633165082033
ATC,退役,ATC_low,low,0.88,0.17,2.0,0.09008161170277437,2.732212695146817,0.3479489487929482,0.007535564885492846,0.7630658583341965,0.0,0.0,5.1764705882352935,0.5020075582570092
ATC,退役,ATC_mid,mid,0.88,0.17,2.0,0.15,5.0,0.6,0.02,1.5,0.0,0.0,5.1764705882352935,0.5020075582570092
ATC,退役,ATC_high,high,0.88,0.17,2.0,0.1921941633289364,6.436356993870989,0.7410416473275055,0.0315186569889078,2.082468623882138,0.0,0.0,5.1764705882352935,0.5020075582570092
Cleo,退役,Cleo_low,low,0.9,0.18,1.2,0.11339622458628346,1.847490450864371,0.2235220151416237,0.008480291023714054,0.5066922183952643,0.0,0.0,5.0,0.5755953286715313
Cleo,退役,Cleo_mid,mid,0.9,0.18,1.2,0.2,3.5,0.4,0.02,1.0,0.0,0.0,5.0,0.5755953286715313
Cleo,退役,Cleo_high,high,0.9,0.18,1.2,0.2557557033220383,4.678027071785757,0.49820098556793013,0.026493776542364386,1.2745467419443397,0.0,0.0,5.0,0.5755953286715313
DITE,退役,DITE_low,low,1.17,0.26,2.7,0.19463677755436062,2.5335324347357795,0.5139779369742633,0.018099669485925524,1.4383828183808747,0.0,0.0,4.5,1.5612135025819192
DITE,退役,DITE_mid,mid,1.17,0.26,2.7,0.3,5.0,1.0,0.04,2.5,0.0,0.0,4.5,1.5612135025819192
DITE,退役,DITE_high,high,1.17,0.26,2.7,0.35052490492295446,6.73188595700802,1.2331895210865622,0.0615432366677523,3.095616496748987,0.0,0.0,4.5,1.5612135025819192
TOSCA,退役,TOSCA_low,low,0.6,0.22,1.0,0.03476744748672441,1.6486476828897767,0.08599669709395097,0.003458502790465283,0.21778020547144533,0.0,0.0,2.727272727272727,0.5732266236152699
TOSCA,退役,TOSCA_mid,mid,0.6,0.22,1.0,0.06,2.5,0.2,0.01,0.4,0.0,0.0,2.727272727272727,0.5732266236152699
TOSCA,退役,TOSCA_high,high,0.6,0.22,1.0,0.07464043843855289,3.230860724663973,0.281636906668026,0.014170897773390385,0.5102158870688344,0.0,0.0,2.727272727272727,0.5732266236152699
VIRTUAL_0001,虚拟,VIRTUAL_0001_design,design,3.653,0.631,12.74,12.86,10.62,13.97,2.5498,94.74,0.46,0.005,5.792,28.68
VIRTUAL_0002,虚拟,VIRTUAL_0002_design,design,5.986,1.81,8.64,0.45,21.93,27.98,0.2921,56.6,225.17,3.978,3.307,387.14
VIRTUAL_0003,虚拟,VIRTUAL_0003_design,design,9.248,2.392,2.31,12.7,15.56,12.84,7.8041,73.7,79.31,1.076,3.866,1044.92
VIRTUAL_0004,虚拟,VIRTUAL_0004_design,design,9.278,1.862,1.76,21.67,21.13,3.91,10.0,92.1,0.0,0.0,4.983,634.98
VIRTUAL_0005,虚拟,VIRTUAL_0005_design,design,8.738,1.977,8.36,8.81,2.31,10.19,2.9029,80.32,0.0,0.0,4.42,674.12
VIRTUAL_0006,虚拟,VIRTUAL_0006_design,design,0.345,0.124,5.69,11.85,23.08,10.52,0.141,34.83,0.01,0.0,2.778,0.1
VIRTUAL_0007,虚拟,VIRTUAL_0007_design,design,4.687,0.89,6.44,3.14,5.23,15.05,1.0893,42.01,0.85,0.02,5.268,73.23
VIRTUAL_0008,虚拟,VIRTUAL_0008_design,design,3.815,1.268,8.93,0.34,16.92,5.51,0.0713,96.11,0.76,0.008,3.01,121.0
VIRTUAL_0009,虚拟,VIRTUAL_0009_design,design,4.322,0.58,13.96,11.07,15.29,2.2,4.4865,75.05,0.0,0.0,7.455,28.67
VIRTUAL_0010,虚拟,VIRTUAL_0010_design,design,2.336,1.073,3.03,4.24,1.88,14.27,0.1564,56.57,0.0,0.0,2.178,53.07
VIRTUAL_0011,虚拟,VIRTUAL_0011_design,design,0.937,0.386,6.46,11.56,11.58,12.14,0.2831,56.05,0.04,0.001,2.429,2.76
VIRTUAL_0012,虚拟,VIRTUAL_0012_design,design,2.065,0.918,13.26,8.24,7.5,19.39,0.6853,40.99,0.39,0.01,2.249,34.36
VIRTUAL_0013,虚拟,VIRTUAL_0013_design,design,1.815,0.701,9.29,0.64,6.33,7.09,0.0365,67.25,0.02,0.0,2.588,17.61
VIRTUAL_0014,虚拟,VIRTUAL_0014_design,design,1.31,0.55,2.66,14.38,6.72,3.16,0.6772,24.47,0.0,0.0,2.381,7.82
VIRTUAL_0015,虚拟,VIRTUAL_0015_design,design,7.306,2.673,11.66,8.77,17.03,6.31,8.1214,29.46,21.94,0.745,2.734,1030.03
VIRTUAL_0016,虚拟,VIRTUAL_0016_design,design,0.426,0.11,3.07,0.63,5.35,17.57,0.0066,42.26,0.0,0.0,3.886,0.1
VIRTUAL_0017,虚拟,VIRTUAL_0017_design,design,8.229,1.567,3.78,8.38,15.17,8.19,6.4328,62.49,6.85,0.11,5.251,398.91
VIRTUAL_0018,虚拟,VIRTUAL_0018_design,design,5.655,1.552,4.26,20.87,19.33,4.38,6.4631,86.87,0.0,0.0,3.644,268.86
VIRTUAL_0019,虚拟,VIRTUAL_0019_design,design,5.028,2.302,11.24,9.38,1.54,8.21,1.1002,54.26,0.0,0.0,2.184,525.93
VIRTUAL_0020,虚拟,VIRTUAL_0020_design,design,6.445,1.252,2.12,18.38,24.63,15.87,10.0,17.33,27.65,1.595,5.148,199.39
VIRTUAL_0021,虚拟,VIRTUAL_0021_design,design,0.478,0.227,1.82,12.7,7.58,16.71,0.0699,65.21,0.01,0.0,2.105,0.49
VIRTUAL_0022,虚拟,VIRTUAL_0022_design,design,2.302,0.24,2.09,19.81,21.97,18.0,3.7753,60.13,0.62,0.01,9.579,2.63
VIRTUAL_0023,虚拟,VIRTUAL_0023_design,design,2.001,0.932,5.98,8.46,13.45,1.6,1.3659,16.8,0.0,0.0,2.147,34.31
VIRTUAL_0024,虚拟,VIRTUAL_0024_design,design,7.459,0.933,8.52,5.44,10.34,8.8,6.8017,35.7,1.68,0.047,7.999,128.04
VIRTUAL_0025,虚拟,VIRTUAL_0025_design,design,3.182,1.039,6.77,14.62,23.48,22.03,5.7137,21.65,9.93,0.458,3.062,67.83
VIRTUAL_0026,虚拟,VIRTUAL_0026_design,design,2.844,0.961,0.91,10.95,15.32,10.16,0.9464,77.14,0.83,0.011,2.958,51.88
VIRTUAL_0027,虚拟,VIRTUAL_0027_design,design,1.029,0.403,7.04,15.16,11.44,7.54,0.3312,81.95,0.04,0.001,2.556,3.29
VIRTUAL_0028,虚拟,VIRTUAL_0028_design,design,7.039,1.329,8.35,7.97,3.2,27.54,8.3519,13.85,0.0,0.0,5.297,245.3
VIRTUAL_0029,虚拟,VIRTUAL_0029_design,design,9.517,1.865,2.75,11.94,21.95,22.02,10.0,80.69,227.26,2.816,5.102,653.62
VIRTUAL_0030,虚拟,VIRTUAL_0030_design,design,7.015,2.653,3.65,10.79,6.31,29.63,2.2854,94.42,19.05,0.202,2.644,974.9
VIRTUAL_0031,虚拟,VIRTUAL_0031_design,design,7.144,2.829,2.69,12.52,22.97,1.21,5.2371,69.8,0.0,0.0,2.525,1128.72
VIRTUAL_0032,虚拟,VIRTUAL_0032_design,design,3.184,1.496,13.6,20.78,12.38,25.89,2.144,84.49,14.14,0.167,2.129,140.64
VIRTUAL_0033,虚拟,VIRTUAL_0033_design,design,8.34,0.914,8.43,5.1,3.89,2.49,3.4056,69.69,0.0,0.0,9.123,137.6
VIRTUAL_0034,虚拟,VIRTUAL_0034_design,design,3.597,1.402,1.1,6.97,13.95,23.76,1.4418,32.01,22.07,0.69,2.565,139.64
VIRTUAL_0035,虚拟,VIRTUAL_0035_design,design,8.894,2.189,3.41,0.59,21.88,0.83,0.4715,87.5,0.0,0.0,4.063,841.42
VIRTUAL_0036,虚拟,VIRTUAL_0036_design,design,5.431,2.583,11.22,21.95,9.42,23.06,6.8095,40.31,41.15,1.021,2.102,715.2
VIRTUAL_0037,虚拟,VIRTUAL_0037_design,design,6.387,2.702,13.78,16.91,11.03,12.76,5.1927,73.81,15.62,0.212,2.364,920.22
VIRTUAL_0038,虚拟,VIRTUAL_0038_design,design,1.372,0.332,4.16,6.55,6.61,1.45,2.8792,1.98,0.0,0.0,4.135,2.98
VIRTUAL_0039,虚拟,VIRTUAL_0039_design,design,9.881,1.849,5.5,14.97,6.24,28.51,9.0074,78.68,13.37,0.17,5.345,666.61
VIRTUAL_0040,虚拟,VIRTUAL_0040_design,design,4.351,1.965,13.24,10.31,15.72,5.18,1.7353,99.12,1.86,0.019,2.214,331.56
VIRTUAL_0041,虚拟,VIRTUAL_0041_design,design,9.444,2.28,8.59,11.3,6.54,5.46,10.0,22.2,0.96,0.043,4.143,968.98
VIRTUAL_0042,虚拟,VIRTUAL_0042_design,design,7.862,1.561,1.0,21.32,22.21,27.85,9.7516,99.49,110.11,1.107,5.036,378.3
VIRTUAL_0043,虚拟,VIRTUAL_0043_design,design,4.144,1.671,9.81,3.43,20.58,6.89,1.845,22.54,5.99,0.266,2.48,228.4
VIRTUAL_0044,虚拟,VIRTUAL_0044_design,design,6.052,1.994,1.46,19.31,7.37,4.06,3.3556,88.9,0.0,0.0,3.034,475.12
VIRTUAL_0045,虚拟,VIRTUAL_0045_design,design,9.57,2.718,11.37,14.43,14.22,2.79,10.0,40.96,0.0,0.0,3.52,1395.84
VIRTUAL_0046,虚拟,VIRTUAL_0046_design,design,3.915,0.798,10.18,10.93,2.95,6.76,1.5693,68.39,0.0,0.0,4.904,49.25
VIRTUAL_0047,虚拟,VIRTUAL_0047_design,design,1.038,0.457,7.03,10.6,15.22,24.78,0.4548,34.91,0.92,0.026,2.27,4.29
VIRTUAL_0048,虚拟,VIRTUAL_0048_design,design,5.788,1.197,12.33,17.55,16.8,25.55,7.4215,86.76,47.13,0.543,4.835,163.67
VIRTUAL_0049,虚拟,VIRTUAL_0049_design,design,8.419,2.347,9.59,13.63,19.07,4.93,8.3322,88.11,0.0,0.0,3.587,915.5
VIRTUAL_0050,虚拟,VIRTUAL_0050_design,design,8.757,0.938,11.6,2.88,9.04,22.36,8.7863,16.24,10.73,0.661,9.338,152.03
VIRTUAL_0051,虚拟,VIRTUAL_0051_design,design,8.372,1.935,0.29,6.35,15.81,29.44,3.1175,63.25,119.16,1.884,4.327,618.57
VIRTUAL_0052,虚拟,VIRTUAL_0052_design,design,6.45,1.917,10.96,2.4,19.26,16.33,1.0618,96.31,46.88,0.487,3.365,467.7
VIRTUAL_0053,虚拟,VIRTUAL_0053_design,design,6.436,2.84,1.61,20.62,17.51,2.22,9.9916,30.24,0.0,0.0,2.266,1024.62
VIRTUAL_0054,虚拟,VIRTUAL_0054_design,design,7.169,0.871,8.23,7.64,15.9,1.56,5.7597,87.18,0.0,0.0,8.234,107.28
VIRTUAL_0055,虚拟,VIRTUAL_0055_design,design,9.743,2.937,10.55,2.91,19.2,0.93,10.0,2.41,0.0,0.0,3.317,1658.86
VIRTUAL_0056,虚拟,VIRTUAL_0056_design,design,3.439,1.016,10.83,15.05,11.7,8.35,1.9483,99.71,0.76,0.008,3.385,70.08
VIRTUAL_0057,虚拟,VIRTUAL_0057_design,design,4.678,0.774,11.17,15.28,6.3,2.65,4.3003,68.11,0.0,0.0,6.044,55.33
VIRTUAL_0058,虚拟,VIRTUAL_0058_design,design,6.649,1.303,13.32,3.37,11.38,28.32,2.8384,42.09,33.71,0.801,5.103,222.81
VIRTUAL_0059,虚拟,VIRTUAL_0059_design,design,4.157,0.872,13.78,9.03,22.46,7.05,7.5225,21.47,0.85,0.04,4.769,62.33
VIRTUAL_0060,虚拟,VIRTUAL_0060_design,design,6.621,1.524,12.13,10.44,24.24,5.73,6.0055,86.89,9.74,0.112,4.345,303.43
VIRTUAL_0061,虚拟,VIRTUAL_0061_design,design,7.778,2.655,10.7,13.8,4.15,1.17,3.5421,92.1,0.0,0.0,2.929,1082.3
VIRTUAL_0062,虚拟,VIRTUAL_0062_design,design,6.282,2.517,6.85,2.62,4.0,20.63,0.797,43.14,0.0,0.0,2.495,785.79
VIRTUAL_0063,虚拟,VIRTUAL_0063_design,design,2.245,0.666,1.09,12.82,7.46,23.97,1.2161,31.17,0.74,0.024,3.371,19.66
VIRTUAL_0064,虚拟,VIRTUAL_0064_design,design,0.413,0.108,5.62,10.58,15.4,8.89,0.103,69.56,0.0,0.0,3.832,0.09
VIRTUAL_0065,虚拟,VIRTUAL_0065_design,design,7.865,0.874,6.83,2.35,6.81,29.6,5.4806,14.42,6.02,0.417,8.997,118.63
VIRTUAL_0066,虚拟,VIRTUAL_0066_design,design,6.296,2.295,7.92,0.26,8.84,15.63,0.4178,8.97,12.8,1.427,2.744,654.43
VIRTUAL_0067,虚拟,VIRTUAL_0067_design,design,0.622,0.117,5.68,2.96,14.62,20.75,0.0601,80.1,0.01,0.0,5.336,0.17
VIRTUAL_0068,虚拟,VIRTUAL_0068_design,design,1.925,0.273,8.98,15.56,1.76,28.1,4.5958,5.39,0.0,0.0,7.051,2.83
VIRTUAL_0069,虚拟,VIRTUAL_0069_design,design,5.551,2.129,12.22,15.72,20.24,10.32,4.9707,81.52,13.43,0.165,2.607,496.77
VIRTUAL_0070,虚拟,VIRTUAL_0070_design,design,8.98,2.049,11.48,9.98,16.45,15.89,8.4169,73.21,31.62,0.432,4.382,744.2
VIRTUAL_0071,虚拟,VIRTUAL_0071_design,design,0.885,0.185,2.4,19.19,6.26,29.28,0.59,33.82,0.02,0.0,4.794,0.6
VIRTUAL_0072,虚拟,VIRTUAL_0072_design,design,7.96,2.248,7.08,12.24,18.26,7.01,5.9705,99.63,25.51,0.256,3.541,793.89
VIRTUAL_0073,虚拟,VIRTUAL_0073_design,design,6.608,1.128,9.59,1.63,1.74,7.88,0.6417,46.37,0.0,0.0,5.86,165.85
VIRTUAL_0074,虚拟,VIRTUAL_0074_design,design,8.722,2.419,10.45,9.39,9.3,11.26,4.3305,98.77,6.19,0.063,3.605,1007.86
VIRTUAL_0075,虚拟,VIRTUAL_0075_design,design,8.71,2.103,6.25,15.97,12.68,26.23,8.5986,90.09,95.25,1.057,4.142,760.4
VIRTUAL_0076,虚拟,VIRTUAL_0076_design,design,2.985,1.006,12.79,4.67,15.95,19.02,0.7192,73.36,3.83,0.052,2.968,59.62
VIRTUAL_0077,虚拟,VIRTUAL_0077_design,design,7.244,2.793,2.68,5.26,24.31,5.59,2.1551,85.47,25.54,0.299,2.593,1115.37
VIRTUAL_0078,虚拟,VIRTUAL_0078_design,design,2.698,1.21,6.35,11.35,9.62,17.87,2.4734,16.52,2.5,0.152,2.231,77.92
VIRTUAL_0079,虚拟,VIRTUAL_0079_design,design,9.703,1.494,9.26,7.19,19.56,4.1,7.4331,96.99,0.0,0.0,6.494,427.66
VIRTUAL_0080,虚拟,VIRTUAL_0080_design,design,4.702,0.914,1.21,3.78,13.47,10.24,0.9189,82.92,1.69,0.02,5.143,77.55
VIRTUAL_0081,虚拟,VIRTUAL_0081_design,design,2.713,0.941,9.95,3.72,5.02,1.29,0.299,73.69,0.0,0.0,2.883,47.4
VIRTUAL_0082,虚拟,VIRTUAL_0082_design,design,6.739,1.778,11.85,17.73,15.05,26.07,10.0,20.74,43.24,2.084,3.79,420.48
VIRTUAL_0083,虚拟,VIRTUAL_0083_design,design,2.917,0.358,7.53,20.61,1.94,3.84,2.6992,45.33,0.0,0.0,8.141,7.39
VIRTUAL_0084,虚拟,VIRTUAL_0084_design,design,9.359,1.588,7.2,0.96,4.56,29.6,0.5476,96.52,0.0,0.0,5.892,466.11
VIRTUAL_0085,虚拟,VIRTUAL_0085_design,design,0.348,0.17,9.02,19.1,11.91,15.56,0.1202,48.99,0.01,0.0,2.042,0.2
VIRTUAL_0086,虚拟,VIRTUAL_0086_design,design,1.655,0.185,4.45,15.52,5.84,20.27,0.854,97.0,0.01,0.0,8.929,1.12
VIRTUAL_0087,虚拟,VIRTUAL_0087_design,design,6.824,1.711,12.18,3.94,17.62,25.18,1.9955,94.47,118.35,1.253,3.989,394.28
VIRTUAL_0088,虚拟,VIRTUAL_0088_design,design,5.123,1.778,12.19,12.57,1.73,27.94,1.5653,69.01,0.0,0.0,2.881,319.75
VIRTUAL_0089,虚拟,VIRTUAL_0089_design,design,6.862,1.185,9.29,8.7,16.63,3.38,6.2707,65.85,0.0,0.0,5.79,190.29
